date,product,category,quantity,unit_price
2026-01-05,ลาเต้เย็น,เครื่องดื่ม,12,65
2026-01-05,อเมริกาโน่เย็น,เครื่องดื่ม,18,55
2026-01-06,ครัวซองต์เนยสด,เบเกอรี่,8,75
2026-01-10,ชาเขียวมัทฉะ,เครื่องดื่ม,10,80
2026-01-12,เค้กช็อกโกแลต,เบเกอรี่,5,120
2026-01-18,ข้าวกะเพราหมูกรอบ,อาหาร,15,85
2026-01-25,ลาเต้เย็น,เครื่องดื่ม,14,65
2026-02-02,อเมริกาโน่เย็น,เครื่องดื่ม,20,55
2026-02-05,บราวนี่,เบเกอรี่,9,60
2026-02-08,ข้าวผัดกุ้ง,อาหาร,11,90
2026-02-14,เค้กสตรอว์เบอร์รี,เบเกอรี่,16,130
2026-02-14,ลาเต้เย็น,เครื่องดื่ม,22,65
2026-02-20,ชาไทยเย็น,เครื่องดื่ม,13,50
2026-02-27,ครัวซองต์แฮมชีส,เบเกอรี่,7,95
2026-03-03,อเมริกาโน่เย็น,เครื่องดื่ม,17,55
2026-03-07,ข้าวกะเพราหมูกรอบ,อาหาร,19,85
2026-03-12,มัทฉะลาเต้,เครื่องดื่ม,11,85
2026-03-15,เค้กช็อกโกแลต,เบเกอรี่,6,120
2026-03-21,สปาเก็ตตี้คาโบนาร่า,อาหาร,9,110
2026-03-28,ลาเต้เย็น,เครื่องดื่ม,16,65
2026-04-04,ชาไทยเย็น,เครื่องดื่ม,21,50
2026-04-09,ครัวซองต์เนยสด,เบเกอรี่,12,75
2026-04-13,ข้าวผัดกุ้ง,อาหาร,14,90
2026-04-13,อเมริกาโน่เย็น,เครื่องดื่ม,25,55
2026-04-19,บราวนี่,เบเกอรี่,10,60
2026-04-26,มัทฉะลาเต้,เครื่องดื่ม,13,85
2026-05-02,ลาเต้เย็น,เครื่องดื่ม,19,65
2026-05-08,เค้กสตรอว์เบอร์รี,เบเกอรี่,8,130
2026-05-11,สปาเก็ตตี้คาโบนาร่า,อาหาร,12,110
2026-05-17,ชาเขียวมัทฉะ,เครื่องดื่ม,15,80
2026-05-23,ข้าวกะเพราหมูกรอบ,อาหาร,22,85
2026-05-30,ครัวซองต์แฮมชีส,เบเกอรี่,9,95
2026-06-05,อเมริกาโน่เย็น,เครื่องดื่ม,28,55
2026-06-09,ลาเต้เย็น,เครื่องดื่ม,24,65
2026-06-14,เค้กช็อกโกแลต,เบเกอรี่,11,120
2026-06-18,ข้าวผัดกุ้ง,อาหาร,16,90
2026-06-22,ชาไทยเย็น,เครื่องดื่ม,18,50
2026-06-27,บราวนี่,เบเกอรี่,13,60
2026-06-30,มัทฉะลาเต้,เครื่องดื่ม,17,85
